,Name of user,Competition Name,Label,Ranking
301,162,Project Innovation Contest,0,0.3350183267216453
302,162,Dream Build Play 2017 Challenge,0,0.14533842929365906
303,162,Photography Competition 2017,0,0.3192591377536097
304,162,Asia Young Designer Award Contest,0,0.39016095642576026
305,162,GYTI Innovation Awards,0,0.0
306,162,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,1,0.7081393322175861
307,162,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,0,0.4398057619263622
308,162,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.04298782434358924
309,162,Best International Future Lawyer Award 2017,0,0.0
310,162,Archasm Architecture Competition 2017,0,0.22046189916361006
311,162,4th National Essay Writing Competition 2018,0,0.3155623710416742
312,162,India?s Storytellers/ Script Contest 2017-2018,0,0.14586886548285657
313,162,Third National Essay Competition on Water 2017-18,0,0.06712377952614722
314,162,Soul of Bengaluru Photo Contest 2017,0,0.21745626173398722
315,162,1st International Article Writing Competition 2017,1,0.5220629282205611
316,162,"Combating Corruption, Battling Black Money Competition 2017",0,0.0730764629209013
317,162,Solar Chulha Innovation Challenge 2017,0,0.10561074845354736
318,178,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
319,178,Marksman Call For Articles- November 2017,0,0.4999999999999999
320,178,Convergence 2017,0,0.4999999999999999
321,178,Prarambh 2018,0,0.0
322,178,Click India Photography Competition - Shot 3,0,0.44397070476203865
323,178,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,0,0.0
324,178,Battleground 8.0,0,0.01379876244479517
325,178,ShopFloor,0,0.0
326,178,CrackItUp,0,0.0
327,178,NEC IIT Bombay Presents CodeSprint,0,0.0
328,178,Kamaal Dhamaal Bemisaal,0,0.0
329,178,Brainy Awards,0,0.0
330,178,Inquizito - Tickle Your Grey Cells,0,0.0
331,178,Finathon - Time To Trade!,0,0.0
332,178,Yalgaar - Time For Halla Bol!,0,0.0
333,178,IntellOps- Article Writing Competition By OpCellence,0,0.0
334,178,BIOCON PRESENTS SHOT OF LIFE,0,0.0
335,178,NEC IIT Bombay Presents Empresario,0,0.0
336,178,Rural Le Carte,0,0.0
337,178,The Fast Pay Story,0,0.0
338,178,"FINAcumen, IIM Nagpur",0,0.0
339,178,NEC IIT Bombay Presents Hashtrix,0,0.0
340,178,NEC IIT Bomaby Presents HackStack,0,0.0
341,178,Asia Pacific International Conference,0,0.0
342,178,Interview Question Of Year 2017,0,0.0
343,178,The Great Analytics Quiz,0,0.0
344,178,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",0,0.0
345,178,KDP Pen To Publish Contest,0,0.4355104508253181
346,178,Banjara International Film Festival 2017,0,0.017429593118675805
347,178,Spanish Guitar Competition 2017,0,0.35718387598134593
